'Road Segment ID','Road Name',Route,'Target Area',Year,'Vehicle Type',Car,PUJ,UV,Taxi,PUB,Truck,Trailer,Motorcycle,Tricycle,'Total AADT'
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2016,Commercial,0,0,781,0,0,7075,2358,0,0,9433
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Passenger,76073,0,0,5017,0,0,0,0,0,76073
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Two/Three-Wheeled,0,0,0,0,0,0,0,28541,527,29068
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Public,0,5019,0,0,173,0,0,0,0,5192
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Commercial,0,0,781,0,0,6421,3070,0,0,9491
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Passenger,88806,0,0,5017,0,0,0,0,0,88806
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Two/Three-Wheeled,0,0,0,0,0,0,0,25887,98,25985
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Public,0,158,0,0,180,0,0,0,0,338
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Commercial,0,0,781,0,0,7130,2398,0,0,9528
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Passenger,94475,0,0,5017,0,0,0,0,0,94475
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Two/Three-Wheeled,0,0,0,0,0,0,0,21083,524,21607
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Public,0,4668,0,0,210,0,0,0,0,4878
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Commercial,0,0,781,0,0,6729,2204,0,0,8933
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Passenger,99264,0,0,5017,0,0,0,0,0,99264
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Two/Three-Wheeled,0,0,0,0,0,0,0,23336,362,23698
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Public,0,5019,0,0,500,0,0,0,0,5519
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Commercial,0,0,781,0,0,7788,2556,0,0,10344
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Passenger,59994,0,0,2758,0,0,0,0,0,62752
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,44877,1475,46352
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Public,0,14,0,0,26,0,0,0,0,40
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Commercial,0,0,16,0,0,2639,507,0,0,3162
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Passenger,58726,0,0,2361,0,0,0,0,0,61087
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,36033,488,36521
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Public,0,0,0,0,1,0,0,0,0,1
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Commercial,0,0,9,0,0,2200,447,0,0,2656
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Passenger,35696,0,0,3867,0,0,0,0,0,39563
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,38154,2237,40391
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Public,0,762,0,0,21,0,0,0,0,783
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Commercial,0,0,23,0,0,3546,661,0,0,4230
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Passenger,42708,0,0,3672,0,0,0,0,0,46380
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,36526,2908,39434
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Public,0,2172,0,0,30,0,0,0,0,2202
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Commercial,0,0,2,0,0,3718,697,0,0,4417
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Passenger,38740,0,0,3604,0,0,0,0,0,42344
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,30289,2151,32440
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Public,0,1351,0,0,10,0,0,0,0,1361
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Commercial,0,0,19,0,0,4610,445,0,0,5074
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Passenger,40306,0,0,4207,0,0,0,0,0,44513
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Two/Three-Wheeled,0,0,0,0,0,0,0,26107,2675,28782
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Public,0,1945,0,0,6,0,0,0,0,1951
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Commercial,0,0,14,0,0,4163,607,0,0,4784
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Passenger,43654,0,0,5017,0,0,0,0,0,43654
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Two/Three-Wheeled,0,0,0,0,0,0,0,26081,2712,28793
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Public,0,1998,0,0,23,0,0,0,0,2021
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Commercial,0,0,781,0,0,4135,599,0,0,4734
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Passenger,54670,0,0,5017,0,0,0,0,0,54670
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Two/Three-Wheeled,0,0,0,0,0,0,0,25111,2769,27880
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Public,0,2228,0,0,21,0,0,0,0,2249
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Commercial,0,0,781,0,0,4393,528,0,0,4921
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Passenger,68009,0,0,5017,0,0,0,0,0,68009
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Two/Three-Wheeled,0,0,0,0,0,0,0,21649,1124,22773
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Public,0,1473,0,0,18,0,0,0,0,1491
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Commercial,0,0,781,0,0,4291,796,0,0,5087
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Passenger,74498,0,0,5017,0,0,0,0,0,74498
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Two/Three-Wheeled,0,0,0,0,0,0,0,21375,1111,22486
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Public,0,1572,0,0,26,0,0,0,0,1598
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Commercial,0,0,781,0,0,6297,815,0,0,7112
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Passenger,51390,0,0,5017,0,0,0,0,0,51390
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Two/Three-Wheeled,0,0,0,0,0,0,0,14730,671,15401
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Public,0,1432,0,0,55,0,0,0,0,1487
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Commercial,0,0,781,0,0,4401,411,0,0,4812
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Passenger,202764,0,0,18186,0,0,0,0,0,220950
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,151847,20,151867
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Public,0,1803,0,0,5588,0,0,0,0,7391
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Commercial,0,0,2475,0,0,2295,119,0,0,4889
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Passenger,199402,0,0,19287,0,0,0,0,0,218689
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,141564,16,141580
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Public,0,1638,0,0,5527,0,0,0,0,7165
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Commercial,0,0,2604,0,0,2188,45,0,0,4837
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Passenger,193788,0,0,19316,0,0,0,0,0,213104
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,107509,4,107513
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Public,0,225,0,0,3645,0,0,0,0,3870
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Commercial,0,0,1423,0,0,2136,68,0,0,3627
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Passenger,255732,0,0,18913,0,0,0,0,0,274645
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,110167,9,110176
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Public,0,2166,0,0,11313,0,0,0,0,13479
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Commercial,0,0,6285,0,0,1297,0,0,0,7582
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Passenger,251628,0,0,20871,0,0,0,0,0,272499
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,86082,15,86097
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Public,0,1940,0,0,13356,0,0,0,0,15296
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Commercial,0,0,6903,0,0,3027,6,0,0,9936
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2017,Passenger,247527,0,0,20022,0,0,0,0,0,267549
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2017,Two/Three-Wheeled,0,0,0,0,0,0,0,69438,28,69466
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2017,Public,0,2369,0,0,12283,0,0,0,0,14652
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2017,Commercial,0,0,7229,0,0,8830,2,0,0,16061
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2016,Passenger,278657,0,0,5017,0,0,0,0,0,278657
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2016,Two/Three-Wheeled,0,0,0,0,0,0,0,65757,5,65762
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2016,Public,0,2723,0,0,12081,0,0,0,0,14804
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2016,Commercial,0,0,781,0,0,5556,2,0,0,5558
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2015,Passenger,284436,0,0,5017,0,0,0,0,0,284436
