Year,Road Segment ID,Road Name,Length(km),Vehicle Type,Vehicle Classification,Traffic Density,Total AADT
2021,C:1,RECTO,3.24,Commercial,Truck,285,924
2021,C:2,MENDOZA,6.61,Commercial,Truck,1238,8186
2021,C:2,PRES. QUIRINO AVE.,3.6,Commercial,Truck,944,3397
2021,C:3,ARANETA AVE.,10.76,Commercial,Truck,204,2200
2021,C:4,EDSA,23.08,Commercial,Truck,95,2188
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Commercial,Truck,245,10535
2021,R:1,ROXAS BLVD.,11.47,Commercial,Truck,268,3076
2021,R:2,TAFT AVE.,16.5,Commercial,Truck,62,1022
2021,R:3,SSH,24.27,Commercial,Truck,275,6664
2021,R:4,SHAW BLVD.,7.68,Commercial,Truck,104,798
2021,R:5,ORTIGAS AVE.,5.54,Commercial,Truck,825,4571
2021,R:6,MAGSAYSAY BLVD.,2.2,Commercial,Truck,972,2138
2021,R:6,AURORA BLVD.,11.42,Commercial,Truck,168,1922
2021,R:7,QUEZON AVE.,7.73,Commercial,Truck,581,4493
2021,R:7,COMMONWEALTH AVE.,12.4,Commercial,Truck,477,5914
2021,R:8,A. BONIFACIO,15.98,Commercial,Truck,522,8334
2021,R:9,RIZAL AVE.,15.95,Commercial,Truck,175,2788
2021,R:10,DEL PAN,7.32,Commercial,Truck,826,6043
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Commercial,Truck,1807,6687
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Commercial,Truck,342,2858
2021,C:1,RECTO,3.24,Commercial,Trailer,25,80
2021,C:2,MENDOZA,6.61,Commercial,Trailer,287,1897
2021,C:2,PRES. QUIRINO AVE.,3.6,Commercial,Trailer,209,754
2021,C:3,ARANETA AVE.,10.76,Commercial,Trailer,42,447
2021,C:4,EDSA,23.08,Commercial,Trailer,2,45
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Commercial,Trailer,30,1281
2021,R:1,ROXAS BLVD.,11.47,Commercial,Trailer,161,1849
2021,R:2,TAFT AVE.,16.5,Commercial,Trailer,0,7
2021,R:3,SSH,24.27,Commercial,Trailer,86,2093
2021,R:4,SHAW BLVD.,7.68,Commercial,Trailer,13,101
2021,R:5,ORTIGAS AVE.,5.54,Commercial,Trailer,88,486
2021,R:6,MAGSAYSAY BLVD.,2.2,Commercial,Trailer,173,380
2021,R:6,AURORA BLVD.,11.42,Commercial,Trailer,2,20
2021,R:7,QUEZON AVE.,7.73,Commercial,Trailer,37,287
2021,R:7,COMMONWEALTH AVE.,12.4,Commercial,Trailer,30,366
2021,R:8,A. BONIFACIO,15.98,Commercial,Trailer,73,1162
2021,R:9,RIZAL AVE.,15.95,Commercial,Trailer,0,0
2021,R:10,DEL PAN,7.32,Commercial,Trailer,889,6506
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Commercial,Trailer,141,522
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Commercial,Trailer,23,194
2021,C:1,RECTO,3.24,Two/Three-Wheeled,Motorcycle,13914,45082
2021,C:2,MENDOZA,6.61,Two/Three-Wheeled,Motorcycle,8190,54136
2021,C:2,PRES. QUIRINO AVE.,3.6,Two/Three-Wheeled,Motorcycle,9409,33872
2021,C:3,ARANETA AVE.,10.76,Two/Three-Wheeled,Motorcycle,3349,36033
2021,C:4,EDSA,23.08,Two/Three-Wheeled,Motorcycle,6134,141564
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Two/Three-Wheeled,Motorcycle,2179,93681
2021,R:1,ROXAS BLVD.,11.47,Two/Three-Wheeled,Motorcycle,7140,81895
2021,R:2,TAFT AVE.,16.5,Two/Three-Wheeled,Motorcycle,2752,45416
2021,R:3,SSH,24.27,Two/Three-Wheeled,Motorcycle,3126,75867
2021,R:4,SHAW BLVD.,7.68,Two/Three-Wheeled,Motorcycle,5927,45517
2021,R:5,ORTIGAS AVE.,5.54,Two/Three-Wheeled,Motorcycle,16283,90210
2021,R:6,MAGSAYSAY BLVD.,2.2,Two/Three-Wheeled,Motorcycle,30164,66360
2021,R:6,AURORA BLVD.,11.42,Two/Three-Wheeled,Motorcycle,4231,48318
2021,R:7,QUEZON AVE.,7.73,Two/Three-Wheeled,Motorcycle,15229,117718
2021,R:7,COMMONWEALTH AVE.,12.4,Two/Three-Wheeled,Motorcycle,10773,133591
2021,R:8,A. BONIFACIO,15.98,Two/Three-Wheeled,Motorcycle,1819,29066
2021,R:9,RIZAL AVE.,15.95,Two/Three-Wheeled,Motorcycle,3725,59406
2021,R:10,DEL PAN,7.32,Two/Three-Wheeled,Motorcycle,6027,44121
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Two/Three-Wheeled,Motorcycle,26922,99611
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Two/Three-Wheeled,Motorcycle,9602,80178
2021,C:1,RECTO,3.24,Two/Three-Wheeled,Tricycle,512,1660
2021,C:2,MENDOZA,6.61,Two/Three-Wheeled,Tricycle,100,662
2021,C:2,PRES. QUIRINO AVE.,3.6,Two/Three-Wheeled,Tricycle,186,668
2021,C:3,ARANETA AVE.,10.76,Two/Three-Wheeled,Tricycle,45,488
2021,C:4,EDSA,23.08,Two/Three-Wheeled,Tricycle,1,16
